size	library	time
128x128	scipy	0,0006477139999994108
128x128	pydct	6,796977983999998
128x128	scipy	0,0005861009999996725
128x128	pydct	6,789170489
128x128	scipy	0,000500587000001218
128x128	pydct	6,674044566000003
128x128	scipy	0,0006882650000008539
128x128	pydct	6,691468129999997
128x128	scipy	0,0005105939999978659
128x128	pydct	6,798181939000003
128x128	scipy	0,0005925840000031712
128x128	pydct	6,691867761999994
128x128	scipy	0,0006308060000037585
128x128	pydct	6,771096432999997
128x128	scipy	0,0005422490000057678
128x128	pydct	6,790587830999996
128x128	scipy	0,0009088240000068026
128x128	pydct	6,737131138000009
256x256	scipy	0,0019657170000044744
256x256	pydct	54,93632475000001
256x256	scipy	0,0020812390000060077
256x256	pydct	55,033800471000006
256x256	scipy	0,0018856700000071669
256x256	pydct	55,193872868
256x256	scipy	0,0017481499999973948
256x256	pydct	55,04965144799996
256x256	scipy	0,0019181460000368133
256x256	pydct	54,917797931999985
256x256	scipy	0,0018053129999771045
256x256	pydct	55,278702028
256x256	scipy	0,0018797050000216586
256x256	pydct	54,99795605899999
256x256	scipy	0,0020177449999891905
256x256	pydct	54,93279334299996
256x256	scipy	0,001929541999970752
256x256	pydct	54,965929609
256x256	scipy	0,0018181159999812735
256x256	pydct	55,054745558000036
512x512	scipy	0,006951030999971408
512x512	pydct	443,66931779999993
512x512	scipy	0,007023247999995874
512x512	pydct	444,88704230300004
512x512	scipy	0,0083286499998394
512x512	pydct	444,5514358209998
512x512	scipy	0,006423266999945554
512x512	pydct	444,2087673970002
512x512	scipy	0,006744868999703613
512x512	pydct	444,2204355409999
512x512	scipy	0,007633180000084394
512x512	pydct	444,5609433280001
512x512	scipy	0,006182406000334595
512x512	pydct	444,0194810029998
512x512	scipy	0,006411200999991706
512x512	pydct	444,96985651900013
512x512	scipy	0,0061845190002713935
512x512	pydct	444,4868573820004
512x512	scipy	0,006420927000363008
512x512	pydct	445,6770287399995
1024x1024	scipy	0,028667513999607763
1024x1024	pydct	3551,800023038001
1024x1024	scipy	0,029166757998609683
1024x1024	pydct	3582,7887990849995
1024x1024	scipy	0,025091232999329804
1024x1024	pydct	3578,6465358509995
1024x1024	scipy	0,028838039999754983
1024x1024	pydct	3586,115497048999
1024x1024	scipy	0,026129500998649746
1024x1024	pydct	3577,5149736260028
1024x1024	scipy	0,025314501999673666
1024x1024	pydct	3574,9377079840015
1024x1024	scipy	0,024935342000389937
1024x1024	pydct	3578,8455151119997
1024x1024	scipy	0,024441898000077344
1024x1024	pydct	3584,0658875629997
1024x1024	scipy	0,023989111999981105
1024x1024	pydct	3579,573654519998
1024x1024	scipy	0,02640788900316693
1024x1024	pydct	3586,258523684999
