size	library	time
5x5	scipy	0,00021369199999998756
5x5	pydct	0,0014188629999999924
5x5	scipy	0,00018483199999996813
5x5	pydct	0,0013333600000000057
5x5	scipy	0,00019444800000001372
5x5	pydct	0,001493915999999984
5x5	scipy	0,00019394299999997422
5x5	pydct	0,0014144870000000198
5x5	scipy	0,00018561100000002995
5x5	pydct	0,001344907999999978
5x5	scipy	0,00023746399999996504
5x5	pydct	0,0014085460000000105
5x5	scipy	0,00018136000000001928
5x5	pydct	0,0013672710000000032
5x5	scipy	0,00021880400000001687
5x5	pydct	0,0014603150000000453
5x5	scipy	0,00018741099999997068
5x5	pydct	0,0014589349999999945
6x6	scipy	0,00022423799999998772
6x6	pydct	0,001956045999999989
6x6	scipy	0,0001946329999999996
6x6	pydct	0,0018682119999999802
6x6	scipy	0,00021821200000005092
6x6	pydct	0,0021224940000000303
6x6	scipy	0,00018335899999999405
6x6	pydct	0,0020325489999999946
6x6	scipy	0,00019517700000004634
6x6	pydct	0,0020628629999999704
6x6	scipy	0,00019967300000001131
6x6	pydct	0,0018415660000000167
6x6	scipy	0,00018161199999999766
6x6	pydct	0,0018445209999999879
6x6	scipy	0,0002179840000000044
6x6	pydct	0,0018428209999999945
6x6	scipy	0,00022826999999997488
6x6	pydct	0,002049177999999985
6x6	scipy	0,00018179699999998356
6x6	pydct	0,0019627280000000247
7x7	scipy	0,00021470300000003828
7x7	pydct	0,0028521189999999863
7x7	scipy	0,00018924199999997837
7x7	pydct	0,002527780000000035
7x7	scipy	0,0001889909999999717
7x7	pydct	0,0024908169999999785
7x7	scipy	0,00019045300000003484
7x7	pydct	0,002535569999999987
7x7	scipy	0,0002114280000000135
7x7	pydct	0,002701760999999969
7x7	scipy	0,00027072799999999786
7x7	pydct	0,002568715999999971
7x7	scipy	0,0001940899999999801
7x7	pydct	0,002535540000000003
7x7	scipy	0,0001983920000000472
7x7	pydct	0,0026152179999999747
7x7	scipy	0,00019392699999998264
7x7	pydct	0,0026387179999999844
7x7	scipy	0,0001993270000000269
7x7	pydct	0,002498571000000005
8x8	scipy	0,00023797300000000243
8x8	pydct	0,0038186430000000104
8x8	scipy	0,00019976399999999117
8x8	pydct	0,0036716679999999613
8x8	scipy	0,00019877099999998649
8x8	pydct	0,003814052000000012
8x8	scipy	0,00020341899999998247
8x8	pydct	0,003990585999999963
8x8	scipy	0,00019601699999999278
8x8	pydct	0,003970996999999976
8x8	scipy	0,00029939800000000627
8x8	pydct	0,0037932439999999734
8x8	scipy	0,00022199200000000419
8x8	pydct	0,003678118000000008
8x8	scipy	0,00026334700000002487
8x8	pydct	0,003834469000000007
8x8	scipy	0,0003144909999999723
8x8	pydct	0,0038825509999999563
8x8	scipy	0,00020544399999999907
8x8	pydct	0,003949513999999987
9x9	scipy	0,00022146499999997626
9x9	pydct	0,005133606000000013
9x9	scipy	0,00020540499999999184
9x9	pydct	0,005091430000000008
9x9	scipy	0,00021225899999999243
9x9	pydct	0,004604325999999992
9x9	scipy	0,00023558600000000984
9x9	pydct	0,004491010999999989
9x9	scipy	0,0002829699999999935
9x9	pydct	0,004491097999999971
9x9	scipy	0,00029517000000001126
9x9	pydct	0,0046244090000000515
